date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:12:22	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2025%20Oct%202022%2013:12:21%20GMT	http://www.hantang.com/robots.txt		(from )
21:12:22	4005/4005	---M-Z	200	added ('OK')	text/html	date:Sat,%2001%20Mar%202014%2006:53:51%20GMT	http://www.hantang.com/	E:/%e4%b8%ad%e5%8c%bb%e5%ad%a6%e4%b9%a0/%e5%80%aa%e6%b5%b7%e5%8e%a6/web/hantang/www.hantang.com/index.html	(from )
21:12:23	13488/13488	---M--	200	added ('OK')	image/jpeg	date:Sat,%2030%20Aug%202008%2001:45:02%20GMT	http://www.hantang.com/images/Index_Title.JPG	E:/%e4%b8%ad%e5%8c%bb%e5%ad%a6%e4%b9%a0/%e5%80%aa%e6%b5%b7%e5%8e%a6/web/hantang/www.hantang.com/images/Index_Title.jpg	(from http://www.hantang.com/)
21:12:24	9847/9847	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202012%2005:36:43%20GMT	http://www.hantang.com/english/en_index.html	E:/%e4%b8%ad%e5%8c%bb%e5%ad%a6%e4%b9%a0/%e5%80%aa%e6%b5%b7%e5%8e%a6/web/hantang/www.hantang.com/english/en_index.html	(from http://www.hantang.com/)
21:12:25	35271/35271	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Jan%202015%2020:27:47%20GMT	http://www.hantang.com/chinese/ch_Articles/copyright4.htm	E:/%e4%b8%ad%e5%8c%bb%e5%ad%a6%e4%b9%a0/%e5%80%aa%e6%b5%b7%e5%8e%a6/web/hantang/www.hantang.com/chinese/ch_Articles/copyright4.html	(from http://www.hantang.com/)
21:12:25	1697/1697	---M--	200	added ('OK')	image/jpeg	date:Sat,%2030%20Aug%202008%2001:45:02%20GMT	http://www.hantang.com/images/Chinese.JPG	E:/%e4%b8%ad%e5%8c%bb%e5%ad%a6%e4%b9%a0/%e5%80%aa%e6%b5%b7%e5%8e%a6/web/hantang/www.hantang.com/images/Chinese.jpg	(from http://www.hantang.com/)
21:12:26	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2025%20Oct%202022%2013:12:25%20GMT	http://www.hantang.com/newpage1.htm	E:/%e4%b8%ad%e5%8c%bb%e5%ad%a6%e4%b9%a0/%e5%80%aa%e6%b5%b7%e5%8e%a6/web/hantang/www.hantang.com/newpage1.5.delayed	(from http://www.hantang.com/)
21:12:27	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2025%20Oct%202022%2013:12:25%20GMT	http://www.hantang.com/Arial_sm.jpg	E:/%e4%b8%ad%e5%8c%bb%e5%ad%a6%e4%b9%a0/%e5%80%aa%e6%b5%b7%e5%8e%a6/web/hantang/www.hantang.com/Arial_sm.7.delayed	(from http://www.hantang.com/)
21:12:27	78681/78681	---M--	200	added ('OK')	image/gif	date:Sat,%2030%20Aug%202008%2001:45:14%20GMT	http://www.hantang.com/images/Logo.gif	E:/%e4%b8%ad%e5%8c%bb%e5%ad%a6%e4%b9%a0/%e5%80%aa%e6%b5%b7%e5%8e%a6/web/hantang/www.hantang.com/images/Logo.gif	(from http://www.hantang.com/)
21:12:28	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2025%20Oct%202022%2013:12:26%20GMT	http://www.hantang.com/_vti_bin/fpcount.exe/F:/%e8%b3%87%e6%96%99/Hantang/%e7%b6%b2%e7%ab%99/public_html/?Page=index.htm|Image=4|Digits=8	E:/%e4%b8%ad%e5%8c%bb%e5%ad%a6%e4%b9%a0/%e5%80%aa%e6%b5%b7%e5%8e%a6/web/hantang/www.hantang.com/_vti_bin/fpcount.exe/F_/%e8%b3%87%e6%96%99/Hantang/%e7%b6%b2%e7%ab%99/public_html/index82cc.html	(from http://www.hantang.com/)
21:12:28	9311/9311	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Aug%202008%2001:51:18%20GMT	http://www.hantang.com/english/en_Articles/diet.htm	E:/%e4%b8%ad%e5%8c%bb%e5%ad%a6%e4%b9%a0/%e5%80%aa%e6%b5%b7%e5%8e%a6/web/hantang/www.hantang.com/english/en_Articles/diet.html	(from http://www.hantang.com/english/en_index.html)
21:12:28	2358/2358	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Aug%202008%2001:51:26%20GMT	http://www.hantang.com/english/en_Articles/newslett.htm	E:/%e4%b8%ad%e5%8c%bb%e5%ad%a6%e4%b9%a0/%e5%80%aa%e6%b5%b7%e5%8e%a6/web/hantang/www.hantang.com/english/en_Articles/newslett.html	(from http://www.hantang.com/english/en_index.html)
